scout,match,robot,team,start,show,move,auto_coral_missed,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,tele_missed,climb_attempt,ending,climb_time,fouls,defense,driver,dead,comments,commentOpen
JY,1,R1,948,M,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,No,FALSE,0,4,4,cs,0,
Frank,1,R3,2468,C,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,4,0,1,4,0,TRUE,D,TRUE,0,0,4,NA,"7,5,6",
SY,1,B1,343,M,FALSE,TRUE,0,0,0,0,1,TRUE,TRUE,0,0,2,0,2,3,1,1,TRUE,D,TRUE,0,0,3,NA,1,
FL,1,B2,930,C,FALSE,TRUE,0,1,0,0,1,TRUE,FALSE,2,0,0,0,5,4,0,0,TRUE,P,FALSE,0,0,3,NA,1,
LJ,1,R2,125,F,FALSE,TRUE,0,0,0,0,4,TRUE,FALSE,2,0,2,2,2,4,1,2,TRUE,D,FALSE,0,0,4,NA,"7,5,6",
RX,1,B3,5142,F,FALSE,TRUE,1,0,0,0,0,FALSE,FALSE,0,0,0,2,0,0,6,0,TRUE,D,FALSE,0,0,4,NA,,
FL,2,B2,10428,M,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,1,0,1,4,0,FALSE,P,FALSE,0,0,2,NA,,
RX,2,B3,6431,F,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,0,1,0,0,0,0,FALSE,No,FALSE,0,0,3,NA,,
LJ,2,R2,1323,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,2,0,0,9,6,6,2,0,TRUE,D,FALSE,0,0,5,NA,"7,5,6",
Frank,2,R3,7617,C,FALSE,TRUE,0,0,0,0,2,TRUE,FALSE,0,0,0,1,2,4,2,0,TRUE,D,TRUE,0,0,5,NA,"7,5,6",
JY,2,R1,9085,M,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,1,0,1,1,TRUE,No,FALSE,0,0,3,NA,"5,6",
SY,2,B1,9072,C,FALSE,TRUE,0,0,0,0,2,TRUE,TRUE,0,1,0,0,6,4,3,0,TRUE,P,TRUE,0,0,3,NA,"7,5,6",
RX,3,B3,6328,F,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,0,0,2,0,3,5,4,0,TRUE,P,FALSE,0,0,4,NA,"7,5,6",
AW,3,R2,868,C,FALSE,TRUE,0,0,0,0,1,TRUE,FALSE,0,0,2,0,3,6,0,0,TRUE,D,TRUE,0,0,4,cs,,
FL,3,B2,3937,C,FALSE,TRUE,0,0,0,0,3,TRUE,FALSE,1,2,0,0,0,2,0,0,TRUE,D,FALSE,0,0,3,NA,,
SY,3,B1,5472,M,FALSE,TRUE,0,0,0,0,1,FALSE,FALSE,0,0,0,0,0,0,0,0,FALSE,P,FALSE,0,3,3,NA,0,"Passable defense, some cycles defended and time wasted but could41391ve caught a lot more aggro opportunities"
TA,3,R1,7565,M,FALSE,FALSE,0,0,0,0,1,TRUE,FALSE,2,0,0,0,1,0,3,0,TRUE,P,TRUE,0,0,3,NA,"1,5",Can?t align well with reef
SR,3,R3,9787,F,FALSE,FALSE,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,1,TRUE,D,FALSE,0,3,3,ba,0,"They got reverse defense played on them, and this resulted in the other substation being free for other alliance members to score."
